Alpha,CL_2D,CL_Prandtl,CL_Kuchemann,CD
-18.75,-1.1856,-1.2513634792654749,-1.2397435860013468,0.23730738095610193
-18.5,-1.2195,-1.2891885383145723,-1.276819849493394,0.24092144589318681
-18.25,-1.251,-1.324443588768654,-1.311354200950308,0.24437096478001458
-18.0,-1.2767,-1.353284537347445,-1.3395891365905424,0.24725049583669323
-17.75,-1.2951,-1.3739761323522095,-1.359836802724991,0.2493480738886375
-17.5,-1.3073,-1.3877153130468627,-1.3732769773296165,0.25075540729268697
-17.25,-1.3135,-1.3947035664274727,-1.380111844693486,0.25147566627774315
-17.0,-1.3147,-1.3960566027155894,-1.3814350815790257,0.2516154648616174
-16.75,-1.3179,-1.3996654468540561,-1.384964283129527,0.25198888520193385
-16.5,-1.3246,-1.407224986923448,-1.3923562339499995,0.2527736742140105
-16.25,-1.3249,-1.407563585372624,-1.3926873018467987,0.25280890710610154
-16.0,-1.3205,-1.4025984334307928,-1.3878323697922124,0.25229295767155946
-15.75,-1.3135,-1.3947035664274727,-1.380111844693486,0.25147566627774315
-15.5,-1.305,-1.3851239331984813,-1.3707422529786735,0.2504890810258168
-15.25,-1.2957,-1.3746514611581873,-1.360497513464311,0.24941697849466093
-15.0,-1.2861,-1.363850771491748,-1.3499296342588696,0.24831833460501307
-14.75,-1.2768,-1.3533968949756532,-1.3396991043151512,0.2472618145999762
-14.5,-1.2695,-1.3451975619116974,-1.331673583098961,0.24643787467941303
-14.25,-1.2662,-1.3414928592083843,-1.3280470201924706,0.24606695922773225
-14.0,-1.2612,-1.3358818607270988,-1.322553903158242,0.2455068056674949
-13.75,-1.26,-1.3345356130733157,-1.321235855353819,0.2453726986019505
-13.5,-1.2546,-1.3284793753278472,-1.3153060783983455,0.24477079660227544
-13.25,-1.2467,-1.3196248527214467,-1.3066352730995936,0.24389489365127826
-12.5,-1.1611,-1.224101389980719,-1.2130055810098186,0.23475886842818222
-12.25,-1.1317,-1.1914691722125839,-1.1809835872885928,0.23177089577346827
-12.0,-1.1012,-1.1577105191693857,-1.1478367212254823,0.22875211046192695
-11.75,-1.0694,-1.1226150089038478,-1.1133563193865137,0.22569247254884084
-11.5,-1.0399,-1.0901505927000121,-1.0814420324879086,0.2229342869679311
-11.25,-1.0094,-1.0566791378787517,-1.0485189009693106,0.22016372100485992
-11.0,-0.9796,-1.024067260379761,-1.0164229451006166,0.21753639380274697
-10.75,-0.9475,-0.9890389714129394,-0.9819287862238365,0.21479436255937726
-10.5,-0.9141,-0.9527023793176315,-0.9461245019031871,0.21203825633302245
-10.25,-0.881,-0.9168026251668957,-0.9107290274928805,0.20940447475408697
-10.0,-0.8486,-0.8817680945718076,-0.8761660356725521,0.2069204621111904
-9.75,-0.8211,-0.8521139322199954,-0.8468952070041499,0.20488513481934664
-9.5,-0.7923,-0.8211382604188028,-0.8163045894774368,0.2028254647617614
-9.25,-0.764,-0.7907801007062155,-0.7863086680677855,0.2008731813323029
-9.0,-0.7374,-0.762317361868244,-0.7581720196303827,0.19910290459161648
-8.75,-0.7121,-0.7353099686952331,-0.7314620054257249,0.1974773488889362
-8.5,-0.686,-0.7075140564288886,-0.7039599839095857,0.1958598579436152
-8.25,-0.6609,-0.6808456187802948,-0.6775619769175165,0.19436130466038964
-8.0,-0.6351,-0.6534970792305721,-0.6504790958762576,0.19287916945718123
-7.75,-0.6091,-0.6260015735438064,-0.6232388343931027,0.19144524371920302
-7.5,-0.5828,-0.5982549994813544,-0.5957378701715235,0.19005574329598912
-7.25,-0.5563,-0.5703645121020824,-0.5680822270187424,0.18871769792190038
-7.0,-0.5295,-0.5422265251041898,-0.540169012334453,0.18742782256248647
-6.75,-0.5028,-0.5142615253094582,-0.5124153820181492,0.18620607831225128
-6.5,-0.4758,-0.48605107620232685,-0.484406093334741,0.18503487554266165
-6.25,-0.4487,-0.45780542281635006,-0.45634979080750065,0.18392432246119383
-6.0,-0.4217,-0.42973276730159,-0.4284534479989348,0.18288261503154862
-5.75,-0.3944,-0.40141772863365766,-0.40030432910711283,0.18189504218594324
-5.5,-0.3671,-0.37317235229512624,-0.37221262314380144,0.18097354148513634
-5.25,-0.3398,-0.34499638152078843,-0.3441782435026836,0.18011811292912797
-5.0,-0.3124,-0.3167867322183616,-0.3160987283175353,0.17932598655701126
-4.75,-0.2848,-0.2884413346731724,-0.2878724570815752,0.17859536581708915
-4.5,-0.2576,-0.2605753794051018,-0.2601123270966045,0.17794140504181188
-4.25,-0.23,-0.2323690224818693,-0.2320017755136304,0.17734487009073013
-4.0,-0.2024,-0.20423230625793243,-0.2039493724623724,0.1768158673982614
-3.75,-0.175,-0.17636811065855043,-0.17615767736372534,0.1763574980440191
-3.5,-0.1474,-0.14836940432215268,-0.14822088305321285,0.1759630705045836
-3.25,-0.1197,-0.12033850141554048,-0.12024106391097933,0.1756351136048826
-2.75,-0.0647,-0.06488608826587598,-0.06485791363341238,0.1751855545791702
-2.5,-0.037,-0.037060782621288944,-0.03705161644634994,0.1750606829329718
-2.25,-0.0094,-0.009403918319242782,-0.009403329773157148,0.17500391668660145
-2.0,0.0182,0.01818532913675297,0.018187523985040758,0.1750146826988441
-1.75,0.0457,0.04560761177011254,0.045621378670648506,0.1750925753825291
-1.5,0.0732,0.07296325631444925,0.07299839332816244,0.17523751184716357
-1.0,0.1284,0.12767334481773493,0.12778033023146365,0.1757307909535544
-0.75,0.1557,0.15463278162055055,0.15478928280705456,0.17607458392676417
-0.5,0.1827,0.18123230009951033,0.18144668048148774,0.176479585988106
-0.25,0.2101,0.20816139487318946,0.20844342228335086,0.17695665933825538
0.0,0.2375,0.23502575790758387,0.23538426229243137,0.17750028976474946
0.25,0.2648,0.2617279295876954,0.26217126894063997,0.1781081292946448
0.5,0.2922,0.28846376151928194,0.28900077135570773,0.17878463096479047
0.75,0.3197,0.3152327822068086,0.3158722474523958,0.1795305235022997
1.0,0.3469,0.3416465517717002,0.34239553451830906,0.18033422972058846
1.25,0.3744,0.36828795600460185,0.3691557927935268,0.18121347843329547
1.5,0.4016,0.3945759526109789,0.39556924854918585,0.18214908603214347
1.75,0.4286,0.4206091315894922,0.4217346014687525,0.1831426815147853
2.0,0.4558,0.4467733888689637,0.44803957153602497,0.18420898481429712
2.25,0.4824,0.4723007516736983,0.47371175342000477,0.18531520143752345
2.5,0.5093,0.49805614860175046,0.4996207258400619,0.18649768662269328
2.75,0.5357,0.523274487166681,0.5249966271400018,0.18772056518721242
3.0,0.5622,0.5485304352703794,0.5504174297462116,0.18901021492491063
3.25,0.5883,0.5733486382683813,0.5754044387023051,0.19034125228460722
3.5,0.6145,0.5982057057985016,0.6004372713050368,0.19173812818862257
3.75,0.6413,0.6235739361426367,0.6259917161489705,0.19322995493051978
4.0,0.6687,0.649449594234522,0.6520643489703575,0.19482100912781028
4.25,0.7002,0.6791218295511033,0.6819711020813267,0.19673238188805256
4.5,0.7308,0.7078694320085727,0.7109546099228986,0.19867337580969613
4.75,0.7664,0.7412194384333833,0.7445888632095023,0.20103599067159303
5.0,0.8034,0.7757732533703241,0.7794489859596213,0.20361058710886795
5.25,0.8396,0.8094742021590838,0.8134600652453569,0.2062469746407833
5.5,0.8764,0.8436270176683254,0.8479384472301336,0.20904613782387402
5.75,0.911,0.8756404047495736,0.8802671438963141,0.21178746560621653
6.0,0.9451,0.9070989545492646,0.9120449361220524,0.21459302110907635
6.25,0.9734,0.9331375567029688,0.9383547154160427,0.21699966234753687
6.5,0.9925,0.9506759451269922,0.9560792498583003,0.21866406310608316
6.75,1.0114,0.9680027073893941,0.9735926430933949,0.2203428708528504
7.0,1.0305,0.9854846158904205,0.9912655782580941,0.2220716159105215
7.25,1.0496,1.0029382387723513,1.008912622191355,0.223832702444858
7.5,1.0688,1.0204548029870846,1.026625993949779,0.22563560523812629
7.75,1.0882,1.0381249418641594,1.0444973676664988,0.22749048170018066
8.0,1.1081,1.0562203997358321,1.0628016873153583,0.22942783065646394
8.25,1.1285,1.074738958859931,1.0815368764029303,0.23145029839704073
8.5,1.1495,1.0937688943564057,1.1007924300578307,0.23357078791311536
8.75,1.1704,1.112674770411385,1.1199254361385844,0.23571999699025778
9.0,1.1912,1.131457153326985,1.1389363748926986,0.23789736977457498
9.25,1.2117,1.1499364752238153,1.157643361538175,0.24008086714680216
9.75,1.252,1.1861713607133426,1.1943325861280123,0.2444819139262735
10.0,1.2714,1.203570760072407,1.211953824057166,0.24665187000617522
10.25,1.2885,1.2188838713718777,1.2274641152686336,0.24859222961607969
10.5,1.3062,1.2347111727623952,1.2434971063645461,0.2506279753497695
10.75,1.3224,1.2491766150894965,1.258152201511919,0.25251554346757654
11.0,1.3401,1.2649590324738929,1.274143329061781,0.2546044836209465
11.25,1.356,1.2791165400547624,1.2884896320214687,0.2565046701540414
11.5,1.3734,1.2945881049294905,1.3041691987252764,0.2586098032089774
11.75,1.3883,1.3078188747782573,1.3175792245684121,0.26043380761673895
12.0,1.4051,1.3227170569068436,1.3326807596844705,0.26251400969371974
12.25,1.42,1.3359128584151654,1.3460579961697394,0.26437988754155517
12.5,1.4345,1.3487386756364859,1.359061336127766,0.26621457108168456
12.75,1.4498,1.3622553268993824,1.3727663126569012,0.26817068875051636
13.0,1.4628,1.3737265336366684,1.3843983347708755,0.26984905722199815
13.25,1.4757,1.3850972343908028,1.3959293294236583,0.27152932508257993
13.5,1.4896,1.3973357313995636,1.40834133185135,0.2733563587610787
13.75,1.5015,1.4078020589425948,1.4189568377728092,0.2749341190077282
14.0,1.5104,1.4156230522696593,1.4268897807887693,0.27612233028587196
14.25,1.5235,1.4271243354903103,1.4385564264572392,0.27788404536950684
14.5,1.5347,1.4369475766743816,1.4485215890458851,0.27940230841616986
14.75,1.5438,1.4449222382562334,1.4566119252290648,0.28064408556978515
15.0,1.5504,1.4507022924684498,1.4624760769356888,0.2815493082622098
15.25,1.5579,1.4572666958940277,1.4691362494994957,0.2825826579365505
15.5,1.567,1.4652260253627243,1.4772120671737627,0.2838431514974835
15.75,1.574,1.4713445020596092,1.4834203631589962,0.28481775752177246
16.0,1.5791,1.4758000148598804,1.4879414313001613,0.2855305630114457
16.25,1.5819,1.4782453782835414,1.490422827056397,0.2859228877032989
16.5,1.5807,1.4771974348483325,1.48935943763008,0.2857546634428314
16.75,1.586,1.481825065776492,1.4940553285565634,0.28649861714068525
17.0,1.5894,1.484792665183785,1.4970667719486883,0.28697718163317587
17.25,1.5913,1.4864506656288479,1.4987492919306582,0.28724506109944076
17.5,1.5911,1.486276151551208,1.4985721962263348,0.2872168481898879
17.75,1.589,1.4844435792138573,1.4967125256577425,0.2869208267364169
18.0,1.5849,1.4808647811455762,1.4930808682193948,0.28634400686794864
18.25,1.578,1.4748391811535233,1.4869664500045578,0.2853766256144743
18.5,1.5659,1.464264227647274,1.4762361717795895,0.2836903940710568
18.75,1.5624,1.4612033786115952,1.473130496964858,0.2832050613703591
19.0,1.5579,1.4572666958940277,1.4691362494994957,0.2825826579365505
19.25,1.5519,1.452015499852068,1.4638084208604405,0.2817555792588773
